sk_opcao,grupo,grupo_rotulo,opcao,opcao_rotulo,comparavel_entre_anos
cdaed109dfb95304,atividades_analista_dados,Atividades: Analista de Dados,oracle_data_integrator_analista,oracle_data_integrator_analista,False
ac908868866377c4,atividades_analista_dados,Atividades: Analista de Dados,pentaho_2,pentaho_2,False
28d2e17486d5c092,atividades_analista_dados,Atividades: Analista de Dados,pentaho_analista,pentaho_analista,False
67a4780d362048b4,atividades_analista_dados,Atividades: Analista de Dados,point_click,point_click,False
f7e85ad08ca6c3eb,atividades_analista_dados,Atividades: Analista de Dados,product_metrics_insight,product_metrics_insight,False
cebb58a4627ff206,atividades_analista_dados,Atividades: Analista de Dados,python_analista,python_analista,False
579f507fdfebd613,atividades_analista_dados,Atividades: Analista de Dados,qlik_sense_1,qlik_sense_1,False
69a66c78536951dc,atividades_analista_dados,Atividades: Analista de Dados,qlik_sense_analista,qlik_sense_analista,False
0c7a57a0125f550f,atividades_analista_dados,Atividades: Analista de Dados,relatorios_sql_exportados_1,relatorios_sql_exportados_1,False
cf002590adf62bd6,atividades_analista_dados,Atividades: Analista de Dados,sap_bw_etl_1,sap_bw_etl_1,False
f4a4a5eb974e6efd,atividades_analista_dados,Atividades: Analista de Dados,sap_bw_etl_analista,sap_bw_etl_analista,False
6b23b93ace09737d,atividades_analista_dados,Atividades: Analista de Dados,sas_data_integration_1,sas_data_integration_1,False
3d5e5dd9fca5577a,atividades_analista_dados,Atividades: Analista de Dados,sas_data_integration_analista,sas_data_integration_analista,False
509817fe8c73cbe5,atividades_analista_dados,Atividades: Analista de Dados,script_python_1,script_python_1,False
bdabfd9a0ac95901,atividades_analista_dados,Atividades: Analista de Dados,sql_stored_procedures_1,sql_stored_procedures_1,False
fbaa1fb68ab87b51,atividades_analista_dados,Atividades: Analista de Dados,ssis_analista,ssis_analista,False
f3105538d061edbb,atividades_analista_dados,Atividades: Analista de Dados,stitch_1,stitch_1,False
9ed91bab259a19b7,atividades_analista_dados,Atividades: Analista de Dados,stitch_analista,stitch_analista,False
ca9365314962522e,atividades_analista_dados,Atividades: Analista de Dados,stored_procedures_analista,stored_procedures_analista,False
959b6a7303787a16,atividades_analista_dados,Atividades: Analista de Dados,talend_1,talend_1,False
93ea9ca29093bb24,atividades_analista_dados,Atividades: Analista de Dados,talent_analista,talent_analista,False
20872874b37191fd,atividades_analista_dados,Atividades: Analista de Dados,utilizacao_ferramenta_avancada_estatistica,utilizacao_ferramenta_avancada_estatistica,False
1d940587e4767d94,atividades_cientista_dados,Atividades: Cientista de Dados,LLM_tmp_gasto_cientista,LLM_tmp_gasto_cientista,False
a5902db7e55b4872,atividades_cientista_dados,Atividades: Cientista de Dados,NLP_dados_nao_estruturados,NLP_dados_nao_estruturados,False
690564d25c2f2204,atividades_cientista_dados,Atividades: Cientista de Dados,ad_hoc_hipoteses_tmp_gasto_cientista,ad_hoc_hipoteses_tmp_gasto_cientista,False
dfe440aeeac24862,atividades_cientista_dados,Atividades: Cientista de Dados,ambiente_local_jupyter_anaconda,ambiente_local_jupyter_anaconda,False
011573efa14e0f2d,atividades_cientista_dados,Atividades: Cientista de Dados,analise_requisitos_area_negocio,analise_requisitos_area_negocio,False
ec4fd4211edd5843,atividades_cientista_dados,Atividades: Cientista de Dados,analise_requisitos_tmp_gasto_cientista,analise_requisitos_tmp_gasto_cientista,False
a3b9a8dfcf27a8ca,atividades_cientista_dados,Atividades: Cientista de Dados,aprendizado_reforco,aprendizado_reforco,False
d69cb775dfee1a93,atividades_cientista_dados,Atividades: Cientista de Dados,auto_ml_cientista,auto_ml_cientista,False
60b963b7fbe04087,atividades_cientista_dados,Atividades: Cientista de Dados,cadeias_markov_hmm_analise_dados,cadeias_markov_hmm_analise_dados,False
9fd7364c5db96317,atividades_cientista_dados,Atividades: Cientista de Dados,coleta_limpeza_cientista,coleta_limpeza_cientista,False
1d3e049071854bf9,atividades_cientista_dados,Atividades: Cientista de Dados,coleta_limpeza_modelagem_analise,coleta_limpeza_modelagem_analise,False
d0e5dddda6fdebf1,atividades_cientista_dados,Atividades: Cientista de Dados,construcao_dashboard_ferramenta_bi_analista,construcao_dashboard_ferramenta_bi_analista,False
79474aeb7f44e5f1,atividades_cientista_dados,Atividades: Cientista de Dados,controle_de_versao_cientista,controle_de_versao_cientista,False
53ee39972484cbea,atividades_cientista_dados,Atividades: Cientista de Dados,criacao_gerencia_feature_store_mlops,criacao_gerencia_feature_store_mlops,False
76942c77cbbfd2de,atividades_cientista_dados,Atividades: Cientista de Dados,criacao_manun_etl_dags_automacoes,criacao_manun_etl_dags_automacoes,False
858d6a3517815c31,atividades_cientista_dados,Atividades: Cientista de Dados,criacao_treinamento_llm,criacao_treinamento_llm,False
5c214863580aee6f,atividades_cientista_dados,Atividades: Cientista de Dados,dashboard_ferramentas_bi_1,dashboard_ferramentas_bi_1,False
443f289f1d9c8d6b,atividades_cientista_dados,Atividades: Cientista de Dados,dashboards_ferramenta_bi_analista_1,dashboards_ferramenta_bi_analista_1,False
8c75a45d44849232,atividades_cientista_dados,Atividades: Cientista de Dados,dashboards_ferramenta_bi_tmp_gasto_cientista,dashboards_ferramenta_bi_tmp_gasto_cientista,False
b9e545bc829273d4,atividades_cientista_dados,Atividades: Cientista de Dados,data_apps_cientista,data_apps_cientista,False
